  + Number of params: 9.11M
0 optim: 5e-05
epoch 000 batch 690, dist_emloss:3.1449601650238037, dist_l2loss:3.931201457977295, intensity_loss:0.5471546649932861, rgb_loss:1.4260451793670654, ambient_loss:0.0010563102550804615
epoch 000 batch 700, dist_emloss:2.171414852142334, dist_l2loss:2.7142696380615234, intensity_loss:0.5743670463562012, rgb_loss:0.42837056517601013, ambient_loss:0.0010961054358631372
epoch 000 batch 710, dist_emloss:2.2546021938323975, dist_l2loss:2.818254232406616, intensity_loss:1.1878235340118408, rgb_loss:0.42972034215927124, ambient_loss:0.0007301389705389738
epoch 000 batch 720, dist_emloss:2.389782428741455, dist_l2loss:2.987229108810425, intensity_loss:0.29499322175979614, rgb_loss:0.9311944246292114, ambient_loss:0.0005444627022370696
epoch 000 batch 730, dist_emloss:2.6762797832489014, dist_l2loss:3.345350742340088, intensity_loss:0.31215330958366394, rgb_loss:0.36787399649620056, ambient_loss:0.0006827728357166052
epoch 000 batch 740, dist_emloss:2.6049301624298096, dist_l2loss:3.256162643432617, intensity_loss:0.21054573357105255, rgb_loss:0.26182520389556885, ambient_loss:0.0007395073771476746
epoch 000 batch 750, dist_emloss:2.579739809036255, dist_l2loss:3.224675416946411, intensity_loss:4.344188213348389, rgb_loss:0.47671863436698914, ambient_loss:0.00252495426684618
epoch 000 batch 760, dist_emloss:2.996492624282837, dist_l2loss:3.745616912841797, intensity_loss:0.1818222850561142, rgb_loss:1.0128083229064941, ambient_loss:0.0006822199793532491
epoch 000 batch 770, dist_emloss:3.2788538932800293, dist_l2loss:4.098567962646484, intensity_loss:0.18878217041492462, rgb_loss:1.4747353792190552, ambient_loss:0.0005370047874748707
epoch 000 batch 780, dist_emloss:3.242896556854248, dist_l2loss:4.053622245788574, intensity_loss:0.14094899594783783, rgb_loss:0.7590687870979309, ambient_loss:0.0005862132529728115
epoch 000 batch 790, dist_emloss:2.398536205291748, dist_l2loss:2.9981727600097656, intensity_loss:1.7515642642974854, rgb_loss:0.48770272731781006, ambient_loss:0.0008177579147741199
epoch 000 batch 800, dist_emloss:2.4649739265441895, dist_l2loss:3.0812182426452637, intensity_loss:0.588583767414093, rgb_loss:0.5303961634635925, ambient_loss:0.0012768879532814026
epoch 000 batch 810, dist_emloss:3.5944125652313232, dist_l2loss:4.493016719818115, intensity_loss:0.33441799879074097, rgb_loss:1.0394278764724731, ambient_loss:0.00039674260187894106
epoch 000 batch 820, dist_emloss:2.688281297683716, dist_l2loss:3.3603529930114746, intensity_loss:0.5641482472419739, rgb_loss:0.7514761090278625, ambient_loss:0.001869090599939227
epoch 000 batch 830, dist_emloss:2.7689590454101562, dist_l2loss:3.4612035751342773, intensity_loss:0.22186343371868134, rgb_loss:1.5514401197433472, ambient_loss:0.0005160154541954398
epoch 000 batch 840, dist_emloss:2.4757239818573, dist_l2loss:3.094656229019165, intensity_loss:0.8136917352676392, rgb_loss:0.2975901663303375, ambient_loss:0.0008482360281050205
epoch 000 batch 850, dist_emloss:2.3776605129241943, dist_l2loss:2.972076416015625, intensity_loss:2.294337511062622, rgb_loss:1.9525285959243774, ambient_loss:0.001078894129022956
epoch 000 batch 860, dist_emloss:1.7721315622329712, dist_l2loss:2.2151572704315186, intensity_loss:1.8891791105270386, rgb_loss:0.6182156205177307, ambient_loss:0.0007934532477520406
epoch 000 batch 870, dist_emloss:2.1202449798583984, dist_l2loss:2.6503119468688965, intensity_loss:1.2159618139266968, rgb_loss:1.01277494430542, ambient_loss:0.0007004165090620518
epoch 000 batch 880, dist_emloss:2.7220025062561035, dist_l2loss:3.4025039672851562, intensity_loss:0.21297411620616913, rgb_loss:1.144949197769165, ambient_loss:0.0004598810337483883
